hotel,district,season,sentiment,topic,reviews_count
Апарт-отель Белый Парус,Советский,Лето,POSITIVE,Комфорт/шум,1
Апарт-отель Белый Парус,Советский,Осень,POSITIVE,Цена,1
Апарт-отель Белый Парус,Советский,Осень,POSITIVE,Чистота,1
Апартаменты Видовая Студия в Км Тауэр Плаза,Канавинский,Лето,POSITIVE,Расположение,1
Арт 11,Советский,Весна,NEUTRAL,Сервис,1
Арт 11,Советский,Весна,POSITIVE,Расположение,1
Арт 11,Советский,Весна,POSITIVE,Сервис,3
Арт 11,Советский,Весна,POSITIVE,Чистота,2
Арт 11,Советский,Зима,NEGATIVE,Еда,1
Арт 11,Советский,Зима,NEUTRAL,Сервис,2
Арт 11,Советский,Зима,POSITIVE,Расположение,1
Арт 11,Советский,Зима,POSITIVE,Сервис,1
Арт 11,Советский,Зима,POSITIVE,Чистота,1
Арт 11,Советский,Лето,NEUTRAL,Еда,2
Арт 11,Советский,Лето,NEUTRAL,Комфорт/шум,1
Арт 11,Советский,Лето,NEUTRAL,Сервис,2
Арт 11,Советский,Лето,NEUTRAL,Чистота,1
Арт 11,Советский,Лето,POSITIVE,Еда,1
Арт 11,Советский,Лето,POSITIVE,Комфорт/шум,1
Арт 11,Советский,Лето,POSITIVE,Сервис,3
Арт 11,Советский,Лето,POSITIVE,Чистота,1
Арт 11,Советский,Осень,NEGATIVE,Сервис,1
Арт 11,Советский,Осень,NEUTRAL,Еда,2
Арт 11,Советский,Осень,NEUTRAL,Комфорт/шум,2
Арт 11,Советский,Осень,NEUTRAL,Расположение,2
Арт 11,Советский,Осень,NEUTRAL,Сервис,3
Арт 11,Советский,Осень,NEUTRAL,Чистота,1
Арт 11,Советский,Осень,POSITIVE,Еда,2
Арт 11,Советский,Осень,POSITIVE,Комфорт/шум,1
Арт 11,Советский,Осень,POSITIVE,Расположение,1
Арт 11,Советский,Осень,POSITIVE,Сервис,3
Арт 11,Советский,Осень,POSITIVE,Чистота,2
Астра,Нижегородский,Весна,NEGATIVE,Расположение,1
Астра,Нижегородский,Весна,NEGATIVE,Сервис,2
Астра,Нижегородский,Весна,NEGATIVE,Чистота,1
Астра,Нижегородский,Весна,NEUTRAL,Комфорт/шум,1
Астра,Нижегородский,Весна,NEUTRAL,Сервис,1
Астра,Нижегородский,Зима,NEUTRAL,Комфорт/шум,1
Астра,Нижегородский,Зима,NEUTRAL,Чистота,2
